api-1  | {"time":"2026-07-28T07:47:53.182365965Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"0626af9e-3adf-4c30-9d24-a742b030532a","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":2,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.18460995Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"f5bbf727-4cf1-4148-b786-5817421c8b7c","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":1,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.18647055Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"6464aa06-0745-4e4b-a019-da66cbd238bd","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":0,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.188303965Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"f3dce958-7106-4f0a-bb9b-35abeac78371","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":0,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.19030671Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"e4ef5e27-e166-45ea-bed3-2a080b6b2c88","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":1,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.192980572Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"019d9eec-0e84-4c2a-8107-a681585f599e","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":1,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.1951749Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"0d27e13a-a1d8-4eb1-a8da-0a9f029ddc70","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":1,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.197123177Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"f404d5f5-51be-4c09-8227-ab5505b924c0","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":1,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.199754473Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"4d3bf2bb-5e24-4069-ad35-efa26a2ab9e4","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":1,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.202934165Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"71edc51a-da69-4177-8df7-513b670dd448","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":1,"operation":"log_query","result_count":100,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.205233803Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"940a0240-ab7b-4c49-b404-211ff6d7f183","method":"GET","path":"/api/v1/logs","client_ip":"172.19.0.1","status":200,"latency_ms":1,"operation":"log_query","result_count":50,"total":1050}
api-1  | {"time":"2026-07-28T07:47:53.648806656Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"a6530931-d58d-4a9f-8ebb-887b7a750ae6","method":"GET","path":"/readyz","client_ip":"127.0.0.1","status":200,"latency_ms":0}
api-1  | {"time":"2026-07-28T07:47:53.865137234Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"8dd53902-8da0-48b8-be63-84ec51fc0c3b","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":4,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:54.006413071Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"773e95f2-29e6-4045-8f80-1852e062a9a5","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":5,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
api-1  | {"time":"2026-07-28T07:47:54.147159553Z","level":"INFO","msg":"HTTP request completed","service":"api","event":"http_request","request_id":"3c95a23a-c4d5-4377-9bc3-a521ed5bde4c","method":"POST","path":"/internal/v1/logs/bulk","client_ip":"172.20.0.3","status":200,"latency_ms":4,"operation":"log_ingestion","received":50,"inserted":0,"duplicated":50,"rejected":0}
